20221202	12:50:38	905c16b1-e20d-4693-91ee-ffc7a1e64aca	GET 	 undefined 	 /css/style.css
20221202	12:51:04	305cf9b5-ef3f-4d9c-9fec-985956493a6d	GET 	 undefined 	 /goodboys.html
20221202	12:51:04	f93ef31a-ef18-45b3-930f-4c079621d6e3	GET 	 undefined 	 /css/style.css
20221202	12:54:51	4067a8ae-d40c-4da7-b342-de7a67972fac	GET 	 undefined 	 /goodboys.html
20221202	12:54:51	0bfba2d5-03be-466f-94e3-a7c04cf1c50c	GET 	 undefined 	 /css/style.css
20221202	12:54:51	1ed9e561-e4ed-42b7-b337-c04e801c81b6	GET 	 undefined 	 /goodboys.html
20221202	12:54:51	cb688aeb-88a6-4bca-a84c-8a0f4ff7b394	GET 	 undefined 	 /css/style.css
20221202	12:56:26	7dfcb9d5-e44f-46d2-ab27-37d5a81e6a85	GET 	 undefined 	 /goodboys.html
20221202	12:56:26	46f75b05-e7d9-4803-9337-fe04a6b22b1e	GET 	 undefined 	 /css/style.css
20221202	12:56:26	42f35a94-0436-461c-900d-ecb72f80a4f0	GET 	 undefined 	 /img/img1.jpg
20221202	12:56:27	a79d4434-405d-4ff0-879b-2ea9c657fb27	GET 	 undefined 	 /goodboys.html
20221202	12:56:27	e90bc420-3d05-412b-beb6-35fdc2ecb08e	GET 	 undefined 	 /css/style.css
20221202	12:56:27	7f6d91e7-cc99-4218-b578-e86a34e61eef	GET 	 undefined 	 /img/img1.jpg
20221202	12:56:37	6beca885-e086-42fd-b3e1-f2dcdef50486	GET 	 undefined 	 /goodboys
20221202	12:56:37	ca83e86a-e4d7-4ab6-928b-07ef6d0b6b3c	GET 	 undefined 	 /css/style.css
20221202	12:56:37	0057b401-7905-4a4f-898c-bf713d691261	GET 	 undefined 	 /img/img1.jpg
20221202	13:02:27	508393fd-af8e-422b-9900-f1215a5ffb66	GET 	 undefined 	 /goodboys
20221202	13:02:27	5839c484-5074-42fd-9af9-76b09d1fa85c	GET 	 undefined 	 /css/style.css
20221202	13:02:27	046f28bb-d91e-44e5-8668-34b014219fad	GET 	 undefined 	 /img/img1.jpg
20221202	13:02:28	f21c3bb9-c7ec-4c7d-bb24-60ff8e8986e4	GET 	 undefined 	 /goodboys
20221202	13:02:28	ef9f360e-a095-42fe-b1a2-d95c6178fe5e	GET 	 undefined 	 /css/style.css
20221202	13:02:28	bf624d73-33ca-4109-9355-fb4d1312dda8	GET 	 undefined 	 /img/img1.jpg
20221202	13:02:29	c5784d8c-2eed-4c94-bf13-01a1ac1d67e6	GET 	 undefined 	 /goodboys
20221202	13:02:29	f0648fb7-2319-4d90-84a5-3ef198b2755c	GET 	 undefined 	 /css/style.css
20221202	13:02:29	cf442f1e-d8dc-4d68-880b-187ded04f116	GET 	 undefined 	 /img/img1.jpg
20221202	13:02:29	4067bdf6-c889-4c2d-b80d-689f8deacf03	GET 	 undefined 	 /goodboys
20221202	13:02:29	7cf4e328-97f3-4966-b3d3-ef3bdee81050	GET 	 undefined 	 /css/style.css
20221202	13:02:29	d0fa9b21-4401-4515-9fed-f83ac04ae5e9	GET 	 undefined 	 /img/img1.jpg
20221202	13:02:30	04ae50db-fe1c-4ba0-b14a-b253a1d7d8a6	GET 	 undefined 	 /goodboys
20221202	13:02:30	0a89635b-bdad-4cd7-99b8-609e350d8d82	GET 	 undefined 	 /css/style.css
20221202	13:02:30	70690ca5-4714-4316-b742-9483b10bf47f	GET 	 undefined 	 /img/img1.jpg
20221202	13:03:39	6f4a219b-d5d2-4782-b164-a00866cc6581	GET 	 undefined 	 /goodboys.html
20221202	13:03:39	b7823d69-6608-40ee-a643-45a4eff9c2a8	GET 	 undefined 	 /css/style.css
20221202	13:03:39	bf78bfdc-6961-45a9-9dd5-7b1a59701795	GET 	 undefined 	 /img/img1.jpg
20221203	04:49:23	c28c5f21-a7a0-40e3-adf8-c4e8b5047c09	GET 	 undefined 	 /
20221203	04:49:23	a6e9d526-a651-43f4-b032-eb86d2c511a9	GET 	 undefined 	 /css/style.css
20221203	04:49:23	a9e10c6b-9e7d-4770-9d91-b6e6ada454bb	GET 	 undefined 	 /favicon.ico
20221203	13:42:44	fc5c637b-7ad4-4ee4-8d31-ff42127a7725	GET 	 undefined 	 /employees
20221203	13:46:12	70b55d56-9772-4e4b-8459-3d94472a5e9b	POST 	 undefined 	 /employees
20221203	13:48:12	6f810034-c0e5-4795-9bed-449719bf5881	PUT 	 undefined 	 /employees
20221203	13:50:10	b7d84e7b-255c-4d85-9473-14e310412089	DELETE 	 undefined 	 /employees
20221203	13:50:54	86eb3cf9-5fd7-43da-b52e-937d70797581	GET 	 undefined 	 /employees/1
20221203	13:51:14	02d18dc0-110f-440d-a232-3655a2492a22	GET 	 undefined 	 /employees/1
20221205	14:37:10	5ea0dee2-aa63-43ae-9a7b-03ce22f5cf68	GET 	 undefined 	 /employees
20221205	14:37:50	94c60520-37c2-42a3-80c5-8ce662b44944	POST 	 undefined 	 /employees
20221205	14:39:32	0d71a6d9-f678-49ac-998e-e3bca95c86d1	PUT 	 undefined 	 /employees
20221205	14:40:52	db47dfb6-e112-454a-aef7-4c137a7e8469	PUT 	 undefined 	 /employees
